standard_code,eligibility,reason,standard_kind,canonical_product,primary_subject,product_subtype,function,material,application,metadata_confidence,product_confidence,review_required,review_reason,quality_flags
IS 13756: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,DUST – PRESSED CERAMIC TILES WITH LOW WATER ABSORPTION OF E 3% GROUP B1,,,,,high,high,False,,
IS 13757: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,BURNT CLAY FLY ASH BUILDING BRICKS * Heavy duty burnt clay building bricks (third revision). ** Common burnt day building bricks (fifth revision),,,clay,,high,high,False,,
IS 13957: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,plywood,plywood,,aluminium,,high,high,False,,
IS 13958: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,BAMBOO MAT BOARD FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirements of bamboo mat board used for general purposes,,,timber,,high,high,False,,
IS 1395: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,electrode,LOW AND MEDIUM ALLOY STEEL COVERED ELECTRODES FOR MANUAL METAL ARC WELDING,,,steel,,high,high,False,,
IS 13983: 1994,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,installation,,STAINLESS STEELSINKS FOR DOMESTIC PURPOSES,,,steel,potable water supply,high,high,False,,
IS 13990: 1994,REVIEW_REQUIRED,low_confidence_metadata,product_standard,waterproofing_membrane,PRECAST REINFORCED CONCRETE PLANKS AND JOISTS FOR ROOFING AND FLOORING 2.3 Tolerances — Casting tolerances on various dimensions of plank shall be as given below — Dimension,,roofing,steel,roofing,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 14143: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,brick,PREFABRICATED BRICK PANEL AND PARTIALLY PRECAST CONCRETE JOIST FOR FLOORING AND ROOFING 2.2.1 Shape— Partially precast joist shall be rectangular in shape with steel stirrups kept projecting out which shall be tied with reinforcement along ,,roofing,steel,roofing,high,high,False,,
IS 14182: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,SOLVENT CEMENT FOR USE WITH UNPLASTICIZED POLYVINYL CHLORIDE PLASTIC PIPE AND FITTINGS 1. Scope – Requirements and methods of sampling and test for solvent cements to be used in joining,,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 14201: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,channel,PRECAST REINFORCED CONCRETE CHANNEL UNITS FOR CONSTRUCTION OF FLOORS AND ROOFS 2.3 Tolerances on Dimensions 2.3.1 Dimension,,,steel,,high,high,False,,
IS 14223 (Part 1): 1995,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,stone,POLISHED BUILDING STONES PART 1 GRANITE,,,clay,sewerage,high,high,False,,
IS 14241: 1995,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,channel,PRECAST REINFORCED CONCRETE L–PANEL FOR ROOFING 2.2 Dimensions 2.2.1 Length— The maximum span of L-panels shall be restricted to 4 m. Lower lengths may be preferred,,roofing,steel,roofing,high,high,False,,
IS 14268: 1995,REVIEW_REQUIRED,low_confidence_metadata,material_standard,steel_sheet,UNCOATED STRESS RELIEVED LOW RELAXATION SEVEN- PLY STRAND FOR PRESTRESSED CONCRETE . TABLE 1 PHYSICAL PROPERTIES,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 14276: 1995,REVIEW_REQUIRED,low_confidence_metadata,material_standard,cement,CEMENT BONDED PARTICLE BOARDS,,,aluminium,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 14333: 1996,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,"HIGH DENSITY POLYETHYELENE PIPES FOR SEWERAGE of IS 7328 : 1992*, HDPE conforming to designation PEEWA -45-T-012 PEEWA -50-T-012 or PEEWA - 57 - T - 012 of IS 7328 : 1992 may also be used with the",,carry_sewage,HDPE,sewerage,high,high,False,,
IS 14402: 1996,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,glass,"GLASS FIBRE REINFORCED PLASTICS (GRP) PIPES JOINT AND FITTINGS FOR USE FOR SEWERAGE, INDUSTRIAL WASTE AND WATER (OTHER THAN POTABLE) Note— For details of other materials, see 6.3 of the standard",,carry_sewage,glass fibre reinforced plastic,sewerage,high,high,False,,
IS 14443: 1997,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,glass,POLYCARBONATE SHEETS,,,polycarbonate,,high,high,False,,
IS 14587: 1998,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,board,medium density fibre board,medium_density_fibre_board,,timber,thermal insulation,high,high,False,,
IS 14588: 1999,REVIEW_REQUIRED,low_confidence_metadata,product_standard,board,BAMBOO MAT-VEENER COMPOSITE FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirement of bamboo mat-veneer composites for,,,timber,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 14616: 1999,REVIEW_REQUIRED,low_confidence_metadata,product_standard,door,LAMINATED VENEER LUMBER 1. Scope—Covers laminated veneer lumber (LVL) of density range 0.6 to 0.75 in which most natural structural wood fall. Its applications include all the end,,,timber,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 14643: 1999,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,UNSINTERED POLYTETRAFLUOROETHYLENE,,,,,high,high,False,,
IS 1464: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,CLAY RIDGE AND CEILING TILES,,,clay,,high,high,False,,
IS 14695: 1999,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,"GLASS FIBRE BASE COAL TAR PITCH OUTER WRAP Note— For test procedure, refer to IS 13826 : 1993 Methods of test for bitumen based felts",,,HDPE,potable water supply,high,high,False,,
IS 14735: 1999,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe_fitting,UNPLASTICIZED POLYVINYL CHLORIDE (UPVC) INJECTION MOULDED FITTING FOR SOIL AND WASTE DISCHARGE SYSTEM FOR INSIDE AND OUTSIDE BUILDINGS INCLUDING VENTILATION AND RAIN WATER SYSTEMS * UPVC pipes for soil and waste discharge systems inside bui,,,PVC,potable water supply,high,high,False,,
IS 14753: 1999,REVIEW_REQUIRED,low_confidence_metadata,product_standard,adhesive,POLYMETHYL METHACRYLATE (PMMA),,,PVC,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 14772: 2000,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,installation,,GENERAL REQUIREMENTS FOR ENCLOSURES FOR ACCESSORIES FOR HOUSEHOLD AND SIMILAR FIXED ELECTRICAL INSTALLATIONS – SPECIFICAION 1. Scope – This standard applies to enclosures or parts,,thermal_insulation,concrete,thermal insulation,high,medium,False,,
IS 1478: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,CLAY FLOORING TILES,,flooring,steel,flooring,high,high,False,,
IS 14842: 2000,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,COIR VENEER BOARD FOR GENERAL PURPOSES 1. Scope – Covers the method of manufacture and the requirement of coir veneer board (coconut fibre,,,timber,,high,high,False,,
IS 14846: 2000,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,valve,SLUICE VALVES FOR WATER WORKS PURPOSES,,,cast iron,water supply,high,high,False,,
IS 14856: 2000,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,glass,"GLASS FIBRE REINFORCED PLASTIC (GRP) PANEL TYPE DOOR SHUTTERS FOR INTERNAL USE 1. Scope – Requirements regarding types, sizes, material, construction, workmanship, finish",,,steel,flooring,high,high,False,,
IS 14862: 2000,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,FIBRE CEMENT FLAT SHEETS,,,timber,,high,high,False,,
IS 14871: 2000,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,PRODUCTS IN FIBRE REINFORCED CEMENT—LONG CORRUGATED OR ASYMMETRICAL SECTION SHEETS AND FITTINGS FOR ROOFING AND CLADDING TABLE 1 CATEGORY AND CLASS (MINIMUM BREAKING LOAD IN N/M) Category,,roofing,,roofing,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1489 (Part 1): 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,portland pozzolana fly ash,portland_pozzolana_fly_ash,,,,high,high,False,,
IS 1489 (Part 2): 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,portland pozzolana fly ash,portland_pozzolana_fly_ash,,clay,,high,high,False,,
IS 14912: 2001,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,door,DOOR CLOSERS - CONCEALED TYPE,,,cast iron,door and window construction,high,high,False,,
IS 1536: 2001,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,"CENTRIFUGALLY CAST (SPUN) IRON PRESSURE PIPES FOR WATER, GAS AND SEWAGE",,carry_sewage,cast iron,sewerage,high,high,False,,
IS 1537: 1976,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,pipe,"VERTICALLY CAST IRON PRESSURE PIPES FOR WATER, GAS AND SEWAGE",,carry_sewage,cast iron,sewerage,high,high,False,,
IS 15380: 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,"MOULDED RAISED HIGH DENSITY FIBRE (HDF) PANEL DOORS 1. Scope – This standard lays down requirements regarding types, sizes, material, construction",,,timber,door and window construction,high,high,False,,
IS 1538: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,socket,socket,carry_sewage,cast iron,sewerage,high,high,False,,
IS 1542: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,SAND FOR PLASTER,,,clay,,high,high,False,,
IS 15476: 2004,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,roofing_sheet,BAMBOO MAT CORRUGATED SHEETS 1. Scope This standard covers the requirement of bamboo mat corrugated sheets (BMCS) for roofs of industrial,,,bamboo,,high,high,False,,
IS 15491: 2004,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,MEDIUM DENSITY COIRBOARDS FOR GENERAL PURPOSES 1. Scope 1.1 This standard covers the requirement of medium,,,steel,door and window construction,high,high,False,,
IS 1554 (Part 1): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,thermal_insulation,PVC INSULATED (HEAVY DUTY) ELECTRIC CABLES PART 1 – FOR WORKING VOLTAGES UPTO AND INCLUDING 1 100 VOLTS,,,PVC,,high,high,False,,
IS 1566: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,wire_fabric,HARD - DRAWN STEEL WIRE FABRIC FOR CON- CRETE REINFORCEMENT,,,steel,,high,high,False,,
IS 1580: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,waterproofing_membrane,BITUMINOUS COMPOUNDS FOR WATER-PROOFING AND CAULKING PURPOSES,,waterproofing,steel,waterproofing,high,high,False,,
IS 1592: 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,ASBESTOS CEMENT PRESSURE PIPES,,carry_sewage,cast iron,sewerage,high,high,False,,
IS 1626 (Part 1): 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe_fitting,bend,bend,,,roofing,high,high,False,,
IS 1626 (Part 2): 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe_fitting,"ASBESTOS CEMENT BUILDING PIPES AND PIPE FITTINGS, GUTTERS AND GUTTER FITTINGS AND ROOF FITTINGS PART 2 GUTTERS AND GUTTER FITTINGS",,,,roofing,high,high,False,,
IS 1626: 1984,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe_fitting,"ASBESTOS CEMENT BUILDING PIPES AND PIPE FITTINGS, GUTTERS AND GUTER FITTINGS AND ROOF FITTINGS PART 3 ROOF FITTINGS",,roofing,,roofing,high,high,False,,
IS 1658: 1977,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,FIBRE HARD BOARDS,,,timber,,high,high,False,,
IS 1659: 2004,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,BLOCK BOARDS,,,timber,flooring,high,high,False,,
IS 1700: 1973,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,DRINKING FOUNTAINS,,,cast iron,water supply,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1701: 1960,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,valve,MIXING VALVES FOR ABLUTIONARY AND DOMESTIC PURPOSE,,,steel,,high,high,False,,
IS 1703: 2000,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,valve,WATER FITTINGS COPPER ALLOY FLOAT VALVES (HORIZONTAL PLUNGER TYPE),,,rubber,water supply,high,high,False,,
IS 1711: 1984,REVIEW_REQUIRED,low_confidence_metadata,product_standard,washer,SELF–CLOSING TAPS FOR WATER SUPPLY PURPOSES,,,cast iron,water supply,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1726: 1991,REVIEW_REQUIRED,low_confidence_metadata,product_standard,coating,CAST IRON MANHOLE COVERS AND FRAMES,,,cast iron,water supply,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1730: 1989,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,flats_structural_engineering_purposes,"STEEL PLATES SHEETS STRIPS AND FLATS, FOR STRUCTURAL AND GENERAL ENGINEERING PURPOSES",,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 1732: 1989,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,rivet,"STEEL BARS, ROUND AND SQUARE FOR STRUCTURAL AND GENERAL ENGIINEERING PURPOSES-DIMENSIONS",,,steel,,high,high,False,,
IS 1785 (Part 2): 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,PLAIN HARD- DRAWNSTEEL WIRE FOR PRESTRESSED CONCRETE. RART 2 -AS DRAWN WIRE,,,steel,,high,high,False,,
IS 1785 (Part I): 1983,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,PLAIN HARD-DRAWN STEEL WIRE FOR PRESTRESSED CONCRETE PART I COLD DRAWN STRESS-RELIEVED WIRE,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1786: 1985,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,PLAIN HIGH STRENGTH DEFORMED STEEL BARS AND WIRES FOR CONCRETE REINFORCEMENT,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1795: 1982,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe,PILLAR TAPS FOR WATER SUPPLY PURPOSES,,,,water supply,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1823: 1980,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,door,FLOOR DOOR STOPPERS,,,steel,flooring,high,high,False,,
IS 1826: 1961,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,window,"VENETIAN BLINDS FOR WINDOWS 1. Scope – Covers material, constructional details, sizes and requirements of open head custom made Venetian blinds made of either wood or metal slats",,,aluminium,,high,high,False,,
IS 1834: 1984,REVIEW_REQUIRED,low_confidence_metadata,material_standard,sealant,HOT APPLIED SEALING COMPOUNDS FOR JOINTS IN CONCRETE,,,bitumen,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1838 (Part 2): 1984,REVIEW_REQUIRED,low_confidence_metadata,material_standard,paint,PREFORMED FILLERS FOR EXPANSION JOINT IN CONCRETE PAVEMENT AND STRUCTURES,,,concrete,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1863: 1979,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,rolled_steel_bulb_flats,ROLLED STEEL BULB FLATS,,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 1879: 1987,REVIEW_REQUIRED,missing_scope_no_reliable_reconstruction,other,pipe_fitting,MALLEABLE CAST IRON PIPE FITTINGS,,,cast iron,,high,high,True,missing_scope_no_reliable_reconstruction,metadata_review_required;missing_scope
IS 190: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,timber,CONIFEROUS SAWN TIMBER,,,timber,,high,high,False,,
IS 1929: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,rivet,HOT FORGED STEEL RIVETS FOR HOT CLOSING,,,steel,,high,high,False,,
IS 1948: 1961,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,window,"ALUMINIUM DOORS, WINDOWS AND VENTILATORS",,,aluminium,door and window construction,high,high,False,,
IS 1949: 1961,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,window,ALUMINIUM WINDOWS FOR INDUSTRIAL BUILDINGS 1. Scope – Deals with aluminium windows suitable for use in industrial buildings and designed to suit,,,steel,door and window construction,high,high,False,,
IS 1977: 1996,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,LOW TENSILE STRUCTURAL STEEL,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2002: 1979,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,socket,socket,,cast iron,roofing,high,high,False,,
IS 2016: 1967,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,washer,PLAIN WASHERS,,,steel,,high,high,False,,
IS 2036: 1995,REVIEW_REQUIRED,low_confidence_metadata,material_standard,thermal_insulation,PHENOLIC LAMINATED SHEETS,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 204 (Part 1): 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,bolt,TOWER BOLTS PART 1 FERROUS METALS,,,cast iron,,high,high,False,,
IS 204 (Part 2): 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,bolt,TOWER BOLTS PART 2 NON FERROUS METALS,,,aluminium,,high,high,False,,
IS 2046: 1995,REVIEW_REQUIRED,low_confidence_metadata,material_standard,glass,DECORATIVE THERMOSETTING SYNTHETIC RESIN BONDED LAMINATED SHEETS,,,,flooring,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 205: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,hinge,NON FERROUS METAL BUTT HINGES,,,steel,,high,high,False,,
IS 2062: 1999,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,STEEL FOR GENERAL STRUCTURAL PURPOSES,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 206: 1992,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,tee,tee,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 207: 1964,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,door,GATE AND SHUTTER HOOKS AND EYES,,,steel,,high,high,False,,
IS 2086: 1993,REVIEW_REQUIRED,low_confidence_metadata,product_standard,thermal_insulation,CARRIERS AND BASES USED IN REWIRABLE TYPE ELECTRIC FUSES FOR VOLTAGES UP TO 650 VOLTS,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 208: 1996,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,DOOR HANDLES,,,cast iron,door and window construction,high,high,False,,
IS 2090: 1983,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,used_in_prestressed_concrete,HIGH TENSILE STEEL BARS USED IN PRESTRESSED CONCRETE,,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2095 (Part 1): 1996,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,GYPSUM PLASTER BOARDS PART 1 PLAIN GYPSUM PLASTER BOARDS,,,concrete,,high,high,False,,
IS 2095 (Part 3): 1996,REVIEW_REQUIRED,low_confidence_metadata,material_standard,board,GYPSUM PLASTER BOARDS PART 3 REINFORCED GYPSUM PLASTER BOARDS,,,steel,door and window construction,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2096: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,ASBESTOS CEMENT FLAT SHEETS,,,,,high,high,False,,
IS 2098: 1997,REVIEW_REQUIRED,low_confidence_metadata,material_standard,board,ASBESTOS CEMENT BUILDING BOARDS,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2104: 1981,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe,WATER METER BOXES (DOMESTIC TYPE),,,cast iron,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2116: 1980,REVIEW_REQUIRED,unsafe quality flags: duplicate_source_records,product_standard,stone,SAND FOR MASONRY MORTARS,,,clay,,high,high,False,,duplicate_source_records
IS 212: 1983,REVIEW_REQUIRED,source_grounded_fallback_requires_review,product_standard,crude_coal_tar_use,CRUDE COAL TAR FOR GENERAL USE,,,timber,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2140: 1978,REVIEW_REQUIRED,low_confidence_metadata,material_standard,aggregate,STRANDED GALVANIZED STEEL WIRE FOR FENCING,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2155: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,rivet,COLD FORGED SOLID STEEL RIVETS FOR HOT CLOSING (6 TO 16 mm DIAMETER),,,steel,,high,high,False,,
IS 215: 1995,REVIEW_REQUIRED,low_confidence_metadata,product_standard,waterproofing_membrane,ROAD TAR,,,bitumen,waterproofing,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 216: 1961,REVIEW_REQUIRED,low_confidence_metadata,material_standard,timber,COAL TAR PITCH,,roofing,steel,roofing,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2180: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,HEAVY DUTY BURNT CLAY BUILDING BRICKS,,,clay,,high,high,False,,
IS 2185 (Part 1): 1979,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,block,CONCRETE MASONRY UNITS PART 1 HOLLOW AND SOLID CONCRETE BLOCKS,,,concrete,flooring,high,high,False,,
IS 2185 (Part 2): 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,block,CONCRETE MASONRY UNITS PART 2 HOLLOW AND SOLID LIGHTWEIGHT CONCRETE BLOCKS,,,steel,,high,high,False,,
IS 2185 (Part 3): 1984,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,block,CONCRETE MASONRY UNITS PART 3 AUTOCLAVED CELLULAR (AERATED) CONCRETE BLOCKS,,,concrete,,high,high,False,,
IS 218: 1983,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,use_as_wood_preservatives,CREOSOTE OIL FOR USE AS WOOD PRESERVATIVES,,,timber,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2191 (Part 1): 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,WOODEN FLUSH DOOR SHUTTERS,,,timber,flooring,high,high,False,,
IS 2191 (Part 2): 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,WOODEN FLUSH DOOR SHUTTERS,,,timber,door and window construction,high,high,False,,
IS 2202 (Part 1): 1999,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,WOODEN FLUSH DOOR SHUTTERS,,,timber,flooring,high,high,False,,
IS 2202 (Part 2): 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,WOODEN FLUSH DOOR SHUTTERS,,,timber,flooring,high,high,False,,
IS 2209: 1976,REVIEW_REQUIRED,low_confidence_metadata,product_standard,bolt,MORTICE LOCKS (VERTICAL TYPE),,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2222: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,BURNT CLAY PERFORATED BUILDING BRICKS,,,clay,,high,high,False,,
IS 2314: 1986,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,steel_sheet,STEEL SHEET PILLING SECTIONS,,,steel,,high,high,False,,
IS 2326: 1987,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe,AUTOMATIC FLUSHING CISTERNS FOR URINALS,,,cast iron,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2365: 1977,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,ropes_lifts_elevators_hoists,"STEEL WIRE SUSPENSION ROPES FOR LIFTS, ELEVATORS AND HOISTS",,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2372: 2004,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,timber,TIMBER FOR COOLING TOWERS,,,timber,,high,high,False,,
IS 2373: 1981,REVIEW_REQUIRED,low_confidence_metadata,product_standard,latch,WATER METERS (BULK TYPE),,,PVC,flooring,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2412: 1975,REVIEW_REQUIRED,low_confidence_metadata,product_standard,pipe_fitting,LINK CLIPS FOR ELECTRICAL WIRING,,,cast iron,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2501: 1995,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,SOLID DRAWN COPPER TUBES FOR GENERAL ENGINEERING PURPOSES,,,,,high,high,False,,
IS 2508: 1984,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,low_density_polythylene_films,LOW DENSITY POLYTHYLENE FILMS,,,,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2525: 1982,REVIEW_REQUIRED,source_grounded_fallback_requires_review,other,aluminium_aluminium_alloys_wire,"DIMENSION FOR WROUGHT ALUMINIUM AND ALUMINIUM ALLOYS, WIRE",,,aluminium,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2547 (Part 1): 1976,REVIEW_REQUIRED,low_confidence_metadata,product_standard,board,GYPSUM BUILDING PLASTERS PART 1 EXCLUDING PREMIXED LIGHTWEIGHT PLASTERS,,,concrete,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2547 (Part 2): 1976,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,aggregate,GYPSUM BUILDING PLASTER PART 2 PREMIXED LIGHTWEIGHT PLASTERS,,,concrete,,high,high,False,,
